category_id;id;question;trending_score;updatedDate
1;1064;Do you prefer to sing or dance;54.5;2016-12-23 08:11:57
1;1060;which one is better?;54.6;2016-12-24 10:21:10
1;167;What's your favorite plot in novels?;54.7;2016-12-26 12:04:36
1;1136;Brad or Angelina, whose side are you on?;55;2016-12-24 14:02:10
1;152;Who's better: Nirvana or Pearl Jam?;55.2;2016-12-25 15:16:19
1;1272;Taylor Swift or Beyoncé?;55.5;2016-12-26 11:40:23
1;253;Do the Golden State Warriors have a chance to go 82-0?;55.6;2016-12-24 12:31:27
1;165;Is Taylor Swift a true feminist?;55.8;2016-12-25 01:26:35
1;193;Which Back to the Future invention are you most excited for?;55.8;2016-12-22 01:11:49
1;46;Who is your favorite leading lady?;56.3;2016-12-25 17:20:26
1;200;What's your favorite shark movie?;56.8;2016-12-26 04:04:22
1;190;Who's the fairest of them all?;57;2016-12-24 08:39:04
1;733;Which Harry Potter Character is best?;57.5;2016-12-24 18:31:32
1;831;How many black friends do you have?;57.5;2016-12-24 22:54:36
1;1065;DC or MARVEL?;57.8;2016-12-26 03:40:51
1;269;Rather no beat drop in dubstep songs or the same beat drop over and over again;58.1;2016-12-26 12:54:50
1;722;Which is the best TV show of all time? ;58.1;2016-12-20 20:12:09
1;914;WHICH IS BETTER EARPHONE OR HEADPHONE;58.6;2016-12-23 20:22:17
1;159;Which was Jeff Bridges' best film?;58.7;2016-12-23 15:09:12
1;237;Who should be the sexiest man alive?;58.9;2016-12-24 18:16:34
1;238;Funniest Will Ferrell Movie;58.9;2016-12-26 11:17:42
1;189;Favorite Superhero?;59.7;2016-12-23 21:33:03
1;934;Is Suicide Squad a good movie?;59.7;2016-12-23 22:35:34
1;76;What is your favorite streaming service?;60.3;2016-12-25 17:18:58
1;835;How would you like to die?;60.3;2016-12-25 20:26:18
1;837;What does Marcellus Wallace look like?;60.4;2016-12-25 07:43:06
1;148;What's the best TV show of all time?;60.7;2016-12-25 20:03:55
1;145;Who's the real James Bond?;60.8;2016-12-25 20:20:22
1;254;Best of all time?;60.8;2016-12-26 10:28:28
1;147;What "classic" movie that everyone loves do you refuse to see?;61;2016-12-26 01:35:07
1;88;Dave, Jay, Conan or Fallon?;61.2;2016-12-24 23:27:56
1;266;Better rapper;62;2016-12-25 02:39:47
1;120;What's next for Caitlyn?;62.6;2016-12-24 18:09:10
1;115;miley or nicki, who ya got?;62.7;2016-12-24 23:42:24
1;22;Who was dressed best?;62.9;2016-12-24 18:16:55
1;1218;Does Gideon Grey from Zootopia deserves his own franchise? ;63.6;2016-12-23 03:14:01
1;18;All about the ?;65.2;2016-12-25 17:15:22
1;263;Best Rapper Alive?;66.2;2016-12-25 02:39:07
1;856;Most underrated character in Harry Potter?;66.2;2016-12-26 00:14:06
1;942;What do you think about Instagram Stories? ;66.3;2016-12-25 19:33:33
1;81;Do you like folk music?;66.5;2016-12-24 12:33:42
1;131;Star Trek or Star Wars?;66.8;2016-12-25 02:39:50
1;285;What is Mark Wahlberg's best movie role;67.4;2016-12-24 13:52:40
1;218;Does anyone know how I can get in touch with Beyoncé Knowles Carter? It's pretty important.;67.8;2016-12-25 02:38:05
1;702;Who is your favorite Kardashian sister?;68.4;2016-12-25 21:43:02
1;838;Will Jared be able to match the diabolical content set by Heath Ledger?;69.4;2016-12-25 14:05:02
1;858;Is it good to smoke weed 24 hours a day ??;70.4;2016-12-26 03:58:22
1;760;Star Wars or Game of Thrones? (Hard question, i know);71.1;2016-12-25 17:20:40
1;97;Best Al Pacino's movie;73.6;2016-12-26 05:44:15
1;984;Who wore it better?;73.6;2016-12-25 20:24:18
1;633;who would you rather be in the originals?;74;2016-12-26 00:02:33
1;13;Beatles or Rolling Stones?;75.9;2016-12-19 23:33:06
1;329;Do you want a second season of Making a Murderer?;76.2;2016-12-24 23:41:36
1;290;Favorite female artist of 2015?;76.3;2016-12-24 09:29:18
1;323;Greatest David Bowie Song?;76.8;2016-12-23 20:58:32
1;634;who has the best sense of fashion/style in the originals?;78.9;2016-12-26 12:48:19
1;283;Are you sick and tired of not being Justin Timberlake?;79;2016-12-25 07:43:14
1;842;How long until Ask The Internet goes out of business?;79;2016-12-25 20:22:17
1;272;Favorite Pixar movie?;79.1;2016-12-24 05:46:18
1;339;Are you excited the X-Files is back?;79.2;2016-12-25 07:42:47
1;291;Are you embarrassed that you really like Justin Bieber's music?;80.4;2016-12-25 22:15:14
1;93;Best cartoon ever?;80.7;2016-12-25 07:44:11
1;186;Your dream BFF: Tina Fey or Amy Poehler?;80.8;2016-12-26 13:37:12
1;310;What is Val Kilmer's best movie role?;80.9;2016-12-25 17:20:57
1;315;What is Matt Damon's best movie role?;81.2;2016-12-26 13:59:05
1;281;Will you see the new Star Wars movie?;81.6;2016-12-25 20:06:10
1;304;What's the greatest Christmas movie?;81.8;2016-12-25 15:08:27
1;865;Who would win a battle between Goku & Superman ?;83.3;2016-12-24 21:59:22
1;196;What's next for Khloe and Lamar?;85.3;2016-12-25 18:49:42
1;319;Are you watching Making a Murderer?;86;2016-12-25 07:43:29
1;294;Who is the greatest movie villain of all time?;89.2;2016-12-24 18:13:43
1;334;How do feel about Grumpy cat?;90.5;2016-12-22 10:50:59
1;638;Which is your favourite duo in Friends?;95.6;2016-12-25 17:05:52
1;846;Porn sites should be banned?;101.7;2016-12-26 03:55:03
1;301;Never gonna... ?;103;2016-12-26 06:57:50
1;1;What's the best sitcom of all time;104.1;2016-12-26 10:44:16
1;615;What is your favourite [canon] Star Wars production or series?;105.3;2016-12-25 07:17:06
1;651;Drake or Chance, who ya got?;108.3;2016-12-24 12:55:51
1;361;Spotify or Pandora?;109;2016-12-26 11:58:47
1;622;Who is your favourite supporting character from Friends?;109.1;2016-12-25 02:38:38
1;336;What is your opinion of Miley Cyrus?;109.4;2016-12-25 02:36:18
1;267;DC or Marvel;109.8;2016-12-26 03:09:41
1;292;Is Die Hard a Christmas movie?;111.4;2016-12-24 09:31:44
1;325;I'll always remember Alan Rickman for... ?;111.4;2016-12-24 23:22:28
1;647;Which is more annoying ?;111.6;2016-12-25 12:22:13
1;379;What is John Cusack's best movie role?;111.9;2016-12-25 23:23:11
1;602;What's your favorite gameshow?;113.9;2016-12-22 03:50:56
1;1228;Will Rogue One be better than The Force Awakens?;117.5;2016-12-26 08:58:12
1;367;Who will be the big winner at the Grammys?;120.1;2016-12-26 04:40:37
1;655;Joey or Chandler;122.8;2016-12-26 14:00:00
1;617;Black Widow or Supergirl?;122.9;2016-12-24 20:20:39
1;639;Bigger badass: The Rock or Vin Diesel?;123.7;2016-12-25 19:54:25
1;626;Which is a better movie franchise?;124.9;2016-12-25 19:54:31
1;208;My girlfriend doesn't watch horror movies. Which one should I terrorize her with this weekend?;126.5;2016-12-26 10:49:15
1;894;Who's the best? ;128.2;2016-12-25 20:22:35
1;609;Fast And Furious or Mission Impossible- Which Hollywood action film series is the best?;131.1;2016-12-24 03:55:55
1;331;What movie is better than the book it was based on?;132.3;2016-12-26 10:49:55
1;348;Which book is the most overrated?;132.6;2016-12-26 11:26:40
1;650;Which one do you think is a better love story, Twilight or Fifty Shades?;134.4;2016-12-25 16:58:36
1;354;What was the best Super Bowl commercial ?;136.5;2016-12-21 02:42:41
1;652;Best Netflix Original Series?;137.7;2016-12-25 17:14:14
1;612;Fifth Harmony, or Little Mix? ;139.5;2016-12-26 03:47:47
1;380;What's Leo's best role?;140.6;2016-12-25 23:23:05
1;399;I'll remember Garry Shandling for... ?;141.4;2016-12-26 11:38:59
1;656;Who's your favorite: Dory or Nemo?;148.8;2016-12-25 01:28:19
1;373;Was Harper Lee a great novelist?;149.6;2016-12-26 12:53:28
1;910;Never be able to listen to music again, or never be able to watch another movie?;151.6;2016-12-23 02:37:00
1;877;What gets you more high?;156;2016-12-23 06:08:53
1;387;Is Kim Kardashian's naked selfie empowering?;160.3;2016-12-26 11:34:21
1;417;I'll always remember Merle Haggard for... ?;164.8;2016-12-25 02:40:09
1;363;Mulder & Scully - now or then?;170.6;2016-12-26 11:29:57
1;194;Who would you want to have in your corner?;173.3;2016-12-26 14:07:15
1;396;Who's your favorite Disney Princess;174.3;2016-12-26 11:37:22
1;404;Will you watch The Walking Dead season finale?;182.7;2016-12-26 11:43:05
1;359;Is Jon Snow really dead?;192.6;2016-12-26 11:29:16
1;610;Bourne or Bond?;192.9;2016-12-25 16:57:22
1;376;What the greatest movie parody of all time?;200.2;2016-12-25 23:23:34
1;502;Superman & Hyperion. Who will survive the fight?;202.2;2016-12-26 14:13:59
1;503;What's the best movie remake of all time?;204.6;2016-12-25 15:37:48
1;501;Thanos Vs Darkseid. Who will win?;212.6;2016-12-26 14:14:01
1;554;why is dc turning everyone into superheroes?  ;213;2016-12-26 01:47:54
1;549;Which one is your favorite Muppet?;213.3;2016-12-26 01:48:42
1;551;Were you offended by Blake Lively's "LA face with an Oakland booty" post?;214.8;2016-12-26 12:01:28
1;677;Are you a Spock or a Kirk?;218.5;2016-12-25 12:28:03
1;543;Who won in batman vs superman movie?;220.2;2016-12-25 22:48:39
1;553;thor vs superman who would win;226.5;2016-12-26 01:47:59
1;349;Is this the year Leo finally wins an Oscar?;234.3;2016-12-26 11:27:09
1;552;Simpsons or Family Guy?;237.6;2016-12-26 07:53:56
1;560;What is the greatest John Hughes movie of all time?;246;2016-12-26 01:47:09
1;563;Would you sacrifice yourself if it meant that everyone could live?;251.5;2016-12-26 04:27:09
1;428;which singer can sing the best;258.7;2016-12-26 12:59:06
1;568;Would rather have your earphones get hooked on to every door handle or have one hear play slightly louder than the other?;259.5;2016-12-26 01:45:54
1;345;Should Ariel Winter have hidden her breast reduction scars?;271.8;2016-12-26 10:51:32
1;437;Which modern Doctor is the best?;283.6;2016-12-24 14:51:01
1;438;Which of these American Idols is the best?;288.4;2016-12-25 00:42:33
1;515;Best rapper right now ?;289;2016-12-25 11:29:14
1;433;Why in the world does Michael Buble eat corn like this?;291.2;2016-12-25 02:41:17
1;511;Which is the better movie;293.5;2016-12-25 05:53:19
1;564;Would you rather be a famous actor or musician?;300.6;2016-12-26 01:46:31
1;514;Which of these you think is a better series?;303;2016-12-26 03:57:05
1;499;Would you rather give up the Internet for a year, or only be able to use the Internet for three hours each week forever?;303.7;2016-12-26 03:33:22
1;432;Which One Of These Things Does Donald Trump Look The Most Like;340.1;2016-12-26 05:21:10
1;473;What's the best lunch spot in Mendocino, California?;356.4;2016-12-26 05:27:34
1;519;DO YOU THINK  SUICIDE SQUAD IS GONNA BE THE BEST MOVIE OF DC OF ALL TIME? ;364.4;2016-12-26 04:05:36
1;439;To me, Prince will always be?;367.8;2016-12-26 04:33:25
1;521;Ferddy Krueger vs Michael Myers vs Jason Voorhees, who'd survive?;368.1;2016-12-26 14:58:23
1;517;WHAT KIND OF BOOBS DO YOU LIKE ?;368.6;2016-12-26 14:14:10
1;584;Manga or Comics(DC/Marvel);398.8;2016-12-26 14:56:01
1;683;See a great concert, or a great sports event?;418.9;2016-12-26 14:56:34
1;474;What is your favorite street in San Francisco?;425;2016-12-26 05:27:26
1;445;Who's your favorite Game of Thrones character?;430.4;2016-12-26 04:32:15
1;522;WHICH OF THESE DO YOU THINK IS THE BEST TV SERIES? ;431;2016-12-26 14:21:18
1;442;Would you rather have noodles or bacon for hair?;440.7;2016-12-26 13:16:52
1;443;Strip clubs are?;440.9;2016-12-26 12:46:17
1;585;Who will win in a battle- Superman or Spider-Man;451.2;2016-12-26 01:58:34
1;469;If you had one shot, one opportunity, to seize everything you ever wanted, one moment, would you capture it, or just let it slip?;471.5;2016-12-25 20:04:34
1;687;Who is the best super sayian?;473.2;2016-12-26 14:36:32
1;587;Quicksilver or Flash;482.3;2016-12-26 01:58:12
1;447;Which would you ride into battle?;482.8;2016-12-26 04:31:53
1;446;Would you rather be forever 12 or forever 35?;487.5;2016-12-26 04:32:05
1;523;Would you rather have no internet or have the world be in darkness with internet?;508.7;2016-12-26 14:21:15
1;449;If one synchronized swimmer drowns, do the rest have to drown, too?;516.3;2016-12-26 12:53:42
1;688;What is the best Pixar movie?;557.3;2016-12-26 14:36:27
1;772;Taylor or Kanye, who's side are you on?;579;2016-12-24 06:47:27
1;588;Would you rather be a (Super) Hero or Villain? (You do not have to kill anyone to be a Villain);588.2;2016-12-26 01:57:59
1;453;What's the best Star Wars movie?;600.1;2016-12-26 12:56:40
1;528;Are you excited for the new (all female) Ghostbusters?;755.8;2016-12-26 14:20:07
1;480;Sherlock or Doctor Who?;768.7;2016-12-26 12:55:14
1;535;Where do you like share your photos?;812.4;2016-12-26 14:18:51
1;692;Which is Green Day's best song?;916.8;2016-12-26 14:59:58
1;695;Who wins Game of Thrones?;937;2016-12-26 14:59:36
1;912;Drake or Eminem?;947.3;2016-12-26 04:04:14
1;457;Which would you rather be?;1001.4;2016-12-26 04:28:00
1;611;If you could, would you bring Tupac or Michael Jackson back from the dead?;1008.8;2016-12-25 02:34:57
1;487;Is JT's 'Can't Stop the Feeling' already the song of the summer?;1070.5;2016-12-26 12:48:10
1;486;Who is richer Tony Stark (Ironman) or Bruce Wayne (Batman);1135.7;2016-12-26 05:25:01
1;485;Should Caitlyn Jenner appear nude on the cover of SI?;1143.9;2016-12-26 13:28:38
1;462;Did you text your ex after listening to Drake's new album?;1309.8;2016-12-26 15:31:26
1;489;What type of Apocalypse do you think will happen?;1387.1;2016-12-26 11:40:30
1;493;Whose side are you on?;1586.5;2016-12-26 15:30:37
1;906;Which Is The Best Meme of 2016?;1586.8;2016-12-21 11:26:08
1;495;Do you like Justin Bieber's new face tattoo?;1700.7;2016-12-26 15:30:21
1;459;Marvel or DC?;5583.8;2016-12-26 15:24:36
1;540;Which is better ;11569.9;2016-12-26 15:33:31
1;498;Which Pokemon is the best?;25152.1;2016-12-26 15:29:57
2;1433;Do you prefer train, plane, bus or boat?;12.2;2016-12-26 12:23:50
2;994;Should I customise my light scooter;27.9;2016-12-22 23:27:13
2;1051;Which South American city would you like to visit first?;36.9;2016-12-25 17:18:23
2;1096;Which country would you visit?;43.4;2016-12-26 00:05:21
2;1049;What's more important the journey or the destination?;43.7;2016-12-25 17:18:21
2;36;Should we build maglev trains?;47.8;2016-12-24 09:39:25
2;49;New York, San Francisco, or LA?;53.4;2016-12-24 23:42:28
2;983;The best people in the US are from the... ?;53.4;2016-12-26 15:26:14
2;75;What city has the most beautiful skyline?;53.8;2016-12-24 09:41:03
2;92;What is the most haunted house on earth?;56.1;2016-12-20 09:59:13
2;12;Cape Cod or Narragansett?;57.2;2016-12-25 02:38:09
2;242;Best skiing this winter?;57.2;2016-12-23 00:56:48
2;225;Which Hawaiian island is your favorite?;57.5;2016-12-25 20:06:16
2;118;East coast or West Coast?;58;2016-12-26 05:42:15
2;818;Have you ever seen a ghost;59.6;2016-12-23 22:37:14
2;169;Who is the worst person to sit next to on a plane?;60.7;2016-12-25 23:57:18
2;187;Window or aisle?;62.9;2016-12-24 18:22:30
2;209;What annoys you most while driving?;66;2016-12-24 13:12:20
2;90;Best vacation destination?;66.2;2016-12-26 04:05:55
2;836;Who is the president of Canada?;66.3;2016-12-26 15:09:55
2;122;Where should I go on vacation?;66.6;2016-12-26 12:58:02
2;703;What city has the best restaurants?;74.7;2016-12-26 14:14:03
2;314;Where was the best New Years Eve party?;77.8;2016-12-24 18:11:08
2;288;Will you travel for the Holidays?;84.3;2016-12-24 08:30:51
2;318;Where will you go on vacation in 2016?;91.4;2016-12-24 18:11:23
2;213;Are you excited for the Hunger Games theme park?;96.6;2016-12-25 01:28:44
2;3;Is it fair to recline your airline seat?;96.9;2016-12-26 15:19:57
2;635;Would you rather take a cruise or stay at an all-inclusive resort?;109.4;2016-12-22 16:07:20
