id,question,trending_score
974,Did you know the Lumia 950 included the retina scanner before Samsung?,34.2
754,Favorite LOZ Majora's Mask Boss?,34.2
1021,True of False: The only real privilege is economic privilege?,34.2
1240,Which one ?batman dark knight or inception ?,34.3
1026,Java or JavaScript, which is better?,34.4
1101,Is skateboarding cool?,34.5
1305,Whats better Sao or Aot,34.6
1118,Iphone 7 or Iphone 7+,34.6
1292,How many cups of coffee do you drink a day?,34.7
1236,Is Ken Bone the best hope for America?,34.9
1251,Who is better:Messi or Ronaldo?,34.9
1022,Should EpiPens be free?,34.9
1296,What technique do you use at the urinal?,35
1128,who is richest and powerfull among bruce wayne and tony stark?,35
823,Which American Horror Story do you like the most?,35.1
1351,What is the most attractive hair color ,35.1
998,Should I stay or should I go,35.3
810,Filthyfrank or cancer?,35.5
1156,This image makes me... ?,35.5
1280,Will Titanfall 2 be the game of the year?,35.6
1054,Is this true..??,35.6
1148,Hallelujah?,35.7
1168,Wolverine has a blade coming out of all five of his fingers.?,35.7
1307,Which is the best gangster movie?,35.8
1271,Who's to blame for the heroine epidemic?,35.8
1202,which is better fallout or skyrim,35.9
1165,What shoe brand is the best?,36
1249,Are you ok with Bob Dylan winning the Nobel prize?,36
1288,Oprah or Ellen?,36.1
961,Sans or Papyrus??,36.1
1080,clash of clans or clash royale which is a time killer?,36.2
779,¿muscle, sport or classic? (i prefer classic),36.4
967,Which Cw DC series is your favorite? ,36.4
1123,Worst dressed at the Emmys?,36.5
1125,Give up sugar or give up your phone?,36.5
1267,iPhone7: Awesome or Bust,36.5
1016,Is a college degree a waste of money?,36.5
1051,Which South American city would you like to visit first?,36.6
1217,Yoga pants or jeans?,36.6
1209,Do you trust mainstream media?,36.8
1211,do you care who i am,36.8
970,Who's more important: police officers or fire fighters?,36.8
1213,Is this latest recording the thing that sinks Trump?,36.9
1244,French fries or Popcorn?,36.9
1053,Do you consider yourself to be Happy?,37.2
924,Which anime is better?,37.2
996,Marvel's Iron Man or DC's Batman?,37.2
1266,Kettle corn, Caramel corn or regular Popcorn?,37.2
1073,Who is the best hip-hop artist of the current generation?,37.3
1233,Which is best Luxury Car brand,37.3
1038,Who is the best Friends character?,37.4
1186,For men , Short Hair or Long Hair?,37.5
959,Is the Lumia Camera still the Best?,37.5
1225,Which starter will you pick?,37.5
946,Is Hamas a terrorist organization?,37.7
986,How many boyfriends you have had? (Honestly),37.7
1102,Are you racist,37.9
1215,what game is better,38
1114,If Hillary Clinton was too sick, what Democrat would you prefer?,38.1
805,Which group poses the greatest threat to civilized society?,38.2
1115,Do you have A Dragonite in Pokemon Go?,38.2
1176,WIll you watch Luke Cage?,38.2
1287,Should I buy Battlefield 1 or GTA V  (PS4)?,38.3
1299,Do you identify as Feminist?,38.3
1302,Favorite F.R.I.E.N.D.S. male character?,38.3
1174,Should Obama say "Islamic Terrorist" ?,38.3
1015,Who should be president?,38.3
1319,Should Yoshi be classed as a Pokemon,38.4
1237,Which one is better?,38.4
1245,What's better, chicken or porn,38.4
1029,Halo or Dead Space ,38.5
1224,Should the Guantanamo Bay Prison be closed?,38.5
752,Favorite Walking Dead Character?,38.5
1133,Yoga or Gym?,38.6
1259,Should charmander be friends with litten?,38.7
792,which one is better ?,38.9
1076,Should Obama stop the Dakota pipeline?,39
1082,Do you believe in global warming?,39.1
1004,Who is faster ?,39.1
770,which of these guys if your favorite?,39.2
949,If you could mug JK Rowling...,39.2
978,Who is better Flash or Shazam?,39.2
1050,Never use the Internet again or make your entire browser history public?,39.3
1206,Is global warming making hurricanes worse?,39.3
778,Will 2016 be remembered as the beginning of the end of civilization as we know it?,39.4
1057,Are we human or dancer,39.4
1083,Would you have given your life to save Harambe?,39.5
1098,Which Band is better?,39.5
1100,Would you rather be rich or famous?,39.5
746,Best basketball player of all time?,39.5
1075,Who is more sacred?,39.6
963,Which Flash is the best?,39.6
1281,Chocolate or Caramel?,39.9
1047,Is Donald Trump's new hat offensive or just ridiculous?,39.9
1172,Do you use Tinder?,39.9
1181,Who is better, Katy Perry or Taylor Swift?,39.9
960,Do you think the Russian Government is hacking the US Democratic Party?,39.9
981,What should I do with old CDs that I burned to digital?,39.9
1162,Jolie vs Aniston,40
971,Which new Mozilla logo do you like best?,40
1248,Would you get a tattoo,40
1268,How corrupt is your government?,40
1144,Who will win: Black widow or Harley Quinn?,40.1
1247,Is the 3rd world war coming?,40.1
1260,Would you rather eat cat or dog?,40.2
1000,Skittles, M&M's or Reese's Pieces,40.3
753,Favorite Hobbit?,40.3
1121,Bath or shower?,40.5
1081,Who wins the Super Bowl?,40.6
1170,Pizza or Burger?,40.7
1013,Having a relationship with someone for the money is the same as prostitution?,40.7
787,Do you enjoy puns?,40.8
1045,does true love exist?,40.8
1257,Who wins the NBA MVP?,40.8
1308,If peanut butter was a plant would it be a fruit or a vegetable,40.9
921,Kate McKinnon or Chris Hemsworth?,40.9
1220,What movie do you like better?,40.9
782,Who is better Messi or CR7,41
1074,Do you prefer paid apps/games or free apps/games with in-app purchases?,41
966,Do you wipe your ass from the front or from the behind,41
1135,Ford or Chevy?,41.1
1258,Onions, garlic or neither?,41.1
1278,Would you eat a venison burger from Arby's?,41.1
812,Who would Jesus bomb?,41.2
51,Where are we seeing the Warriors game tonight?,41.2
1157,Who won the first debate?,41.3
1137,Do you stalk your ex on social media?,41.4
1282,What is better Jurassic Park or Star Wars,41.5
1094,What is the minimum number of hours of sleep a teenager needs ?,41.5
926,Who is more powerful,41.5
712,What's your favorite carnival food?,41.5
1269,China or India,41.5
1018,Which Color would you choose? pt.2,41.5
769,Do you use the toilet seat covers in public restrooms?,41.6
1323,Ariana Grande or Selena Gomez?,41.7
1111,Is Beyoncé overrated?,41.7
1207,Pepsi or Coca-Cola,41.7
1104,Is Pokemon Cool??????????,42
1139,What is the square root of 9?,42
950,Do you like hugs?,42
1077,MORTAL KOMBAT OR STREET FIGHTER,42.1
1187,Favorite Pokémon region?,42.1
1192,Let's do this.... Harry Potter or POTC,42.1
739,Caribou Coffee or Starbucks?,42.1
756,Favorite Gaming Company,42.1
1275,Would you rather have a Pool or a Hot Tub?,42.1
1193,Do you still play Pokémon Go?,42.2
1210,Will you let your partner have your phone unlocked ?,42.2
1031,Hardcore or softcore?,42.3
1008,is 3rd eye a real fact,42.3
164,What common household item is your biggest source of despair?,42.4
1194,Who is the best legendary bird Pokemon?,42.4
734,iPhone 5s not supported give me suggestions,42.4
1109,Who's your favorite Harry Potter character?,42.5
1052,Money or family,42.7
1119,What school subject do you hate?,42.8
1164,Do you believe the rumors that Trump and Hillary had an affair in the 90's?,42.8
1241,Trump or clinton,42.8
743,Who is better messi or cristiano ronaldo?,42.8
1303,Which is your favorite city?,42.9
716,Newest super sayian or oldest super sayian?,42.9
1252,If you could bring one of them back for one more song who would it be??,42.9
814,Rock music?,43
820,Do you think the rat kids are cool?,43
1084,Ladies: prefer guys with a beard or clean shaven?,43
1096,Which country would you visit?,43.1
917,I'm buying a new guitar. Which one for progressive metal?,43.1
1177,Which is better ?,43.1
1178,Which is a better country ?,43.1
1055,Do you prefer books or movies?,43.2
1184,Would you watch Trump's porn movie?,43.3
180,Best team in the NFL after 4 weeks?,43.3
228,What's your favorite wine tasting destination in California?,43.3
1306,Eminem vs. Sean Paul,43.4
714,Led Zeppelin or The Beatles?,43.4
1088,Is too much screen time hurting our kids?,43.5
136,Who is your favorite new designer from NY Fashion week 2015?,43.5
1254,Windows OS or Mac OS?,43.5
1264,Do you still watch The Walking Dead?,43.5
774,What one factor affects your sleep most?,43.6
1034,God v/s Satan?,43.6
1049,What's more important the journey or the destination?,43.6
1134,Condom before sex?,43.6
1159,Who came first?,43.7
1028,Goku or superman,44
1153,What is better,44
1286,Is it weird to not want to get married and have kids?,44.1
720,Cual es la mejor serie?,44.1
28,Barcelona or Juventus?,44.2
1276,Is Halloween the best holiday?,44.2
1203,Which game will you get?,44.3
1035,Have you a GF or BF,44.4
139,Is this the year Jon Hamm finally wins an Emmy?,44.4
1273,Is it ok for a woman to propose to a man?,44.4
1145,Guy or girl?,44.5
979,¿Emoji or :v?,44.5
980,Straight, Yaoi, Yuri or All?,44.5
1014,Where would you like to live?,44.5
1284,Are dogs smarter than cats?,44.6
824,Who did a better portrayal of Sherlock Holmes ?,44.6
1093,Which is better? (Android or iOS),44.6
1142,Are you a lover or a fighter?,44.6
726,Which Pevensie is the best?,44.6
731,The Best Lord of the Rings Character?,44.6
1001,Would you date someone shorter than you?,44.6
973,Choose one film you would watch without reading reviews,44.7
747,skate or BMX?,44.7
1024,Is the conspiracy dude theory on eminem real?,44.8
821,Electro music?,44.8
1246,Netflix, Hulu or Amazon Prime?,44.8
1261,Who wins the World Series?,44.8
234,Should the NCAA expand the College Football Playoff?,44.9
1289,Who did you learn about sex from?,45
816,Melania or Bill?,45
944,Do you want to be less engaged with your family?,45
759,Scarier to be buried in Spiders or Snakes?,45
1120,Would you let your partner look through your phone?,45.1
741,Windows or Mac OS,45.1
775,What element are you?,45.2
1226,What team are you on?,45.2
44,What is your favorite sushi to eat?,45.3
1212,do u still like clowns,45.3
1255,Do you choose a partner based on looks or personality?,45.3
1002,which one is more delicious? ,45.3
65,What's the best way to learn User Interface Design?,45.6
1078,Which would you prefer for a first date?,45.9
951,Can you read in your dreams? ,45.9
1009,Troublemaker or Peacemaker?,45.9
771,Do women in India have more legal rights than they deserve????,46
1039,Are artists who die young overrated?,46
795,Freedom of speech?,46.1
807,Which Lives Matter?,46.1
975,Should genetic engineering of humans be outlawed?,46.1
37,Who was the greatest horse ever?,46.2
948,black vs white,46.2
729,Do you prefer to stand out from the crowd, or blend in?,46.2
1277,Will you miss Vine?,46.2
798,Is it dumb to think of your ex when you have been betrayed by them?,46.3
231,Is Charlie Sheen a victim of blackmail?,46.3
744,When should I eat my sandwich?,46.4
1300,Girls like to date short guys or tall? ,46.5
202,Which vinyl classic should I get next?,46.5
1310,Should I wear Nike Air Uptempo's for Thanksgiving or Jordan Bred 11s?,46.6
1324,Who's your Presidential candidate for 2020?,46.6
1214,Which store do you prefer to shop at?,46.6
1032,R.I.P.,46.8
991,Would you pay for sex?,46.8
1320,Are we fucked?,46.9
1173,what superpower would you like to have?,46.9
780,What's the correct pronunciation of Tomato? Is it pronounced as Tomato or Tomato?,47
809,Why are Americans so stupid?,47
89,Who will win 2015 Wimbeldon?,47.1
1227,Deadpool or Wolverine?,47.1
1138,Should Wells Fargo CEO John Stumpf go to jail?,47.2
943,Which religion do you like better?,47.3
232,Thursday Night: JAX or TEN who will win?,47.3
791,Guacamole or Salsa?,47.4
29,Watching the women's world cup?,47.4
141,Who's the greatest guitarist of all time?,47.5
1256,Should hunting animals be banned?,47.5
763,Do you check your phone after Bed.,47.5
36,Should we build maglev trains?,47.6
158,Which is the best pizza in San Francisco?,47.6
16,What's your favorite beer style?,47.7
1140,who is the best,47.7
748,can you forget the memories of your ex?,47.7
1318,Is transexuality healthy?,47.8
1146,What's better grapes or strawberries,47.8
1058,F.R.I.E.N.D.S. OR SEINFELD?,47.9
750,What do you think about ios.,48
117,Who will win the U.S. Open?,48.1
140,Should the Sneaky Pete pilot on Amazon get picked up?,48.2
248,Does UVA have any chance to beat VA Tech this Sat?,48.2
730,Which Game of Thrones Character is the Best?,48.3
993,who is better, marvel or dc?,48.3
781,Strictly in sneakers, what do you prefer?,48.4
742,Which is truly better,Mac os or Windows,48.4
41,What is your favorite pie?,48.5
265,Should Notre Dame be in the top 4?,48.6
227,Who will be the next hot celebrity couple?,48.6
964,Have you ever switched from android to iPhone?,48.7
988,Do you speak English or Spanish?,48.7
755,yes or no?,48.7
230,Christmas decorating before Thanksgiving,48.8
1007,Captain America vs Batman,48.8
732,Which is the Best 3D Zelda Game?,48.9
962,Should prostitution be legal?,49
1040,How would you respond if your ex wanted to get back together?,49.1
788,Which ones the best: Interstellar or Inception?,49.1
1059,What is life?,49.3
786,Can you truly love animals if you're not a vegetarian?,49.4
1141,Are brownies a breakfast food? ,49.4
1112,Is the word "retard" offensive?,49.7
1221,Should the government ban porn or not?,49.7
259,Iron bowl winner?,49.8
1044,How many countries you've been to??,49.8
794,Which is the best superhero without superpowers,49.8
933,Should Israel be a state?,49.8
717,Which is the best sport (that's doesn't contain balls in them),49.8
245,Should the NFL allow European teams in the NFL?,49.8
1011,DID YOU MASTURBATE TODAY?,50
1067,Which soccer game do you love? ,50.1
77,Should Sepp Blatter resign immediately,50.1
935,What should I write a book about,50.1
945,What time do you wake up in the morning?,50.1
713,What's your favorite part of the 4th of July?,50.1
197,Pats vs Jets, who wins this weekend?,50.2
793,Would you date someone in a wheelchair?,50.3
808,If poison reaches it's expiry date will it become more poisonous or less poisonous...?????????,50.3
48,Will Apple Music kill Spotify?,50.3
163,How gnarly is this wave?,50.3
972,Harambe for president?,50.3
718,What is the best Super Smash Bros version?,50.3
42,What is your favorite form element?,50.4
38,What's best on the grill for July 4?,50.5
146,Who won the Emmy Red Carpet?,50.5
268,Wahoos or Hokies today?,50.6
955,pakistan is a terrorist nation?,50.6
1199,Will you buy the Google Pixel phone?,50.7
757,Is Love Overrated?,50.7
800,Which os is better in secure in  personal data ? iOS or android?,50.8
162,Does the Internet contain the answers to all of life's most important questions?,50.8
723,Who will take Spain's crown? Euro 2016 is down to these 4 teams:,50.8
1041,do you wear socks at sex time?,50.9
125,What's in your ultimate comfy bed?,50.9
206,What's next, Mets fans? ,51
976,Should Ryan Lochte face jail time in Brazil?,51
749,What color are your eyes?,51
114,Who will win Super Bowl 50?,51.1
144,Will humans ever land on Mars?,51.1
192,Who is your favorite Star Wars character?,51.1
43,Who is your favorite sci-fi writer?,51.2
177,Do you hide your self-help books when friends come over?,51.2
261,TCU or Baylor tonight?,51.3
198,What do you think of electric skateboards?,51.3
855,Whos better sam or dean,51.4
1113,What decade had the best MUSIC?,51.4
773,Tomboy or Girly-Girl?,51.5
235,Should 1 day fantasy gambling apps be banned?,51.5
154,Why does the caged bird sing?,51.6
985,Blondes or brunettes?,51.6
931,Do you consider a happy or depressed person?,51.7
719,What do you think of Kevin Durant joining the Warriors?,51.8
822,you are not gay, but have You ever felt attraction for a same sex friend of yours?,51.9
995,Would you rather be able to change the past or see the future?,52
1309,If your whole life was a dream, would you like to,52.2
1086,Dragon ball z or Pokemon,52.2
74,Do you agree with the Dominique Strauss-Kahn verdict?,52.2
183,The Blue Angels are... ?,52.2
45,Surfing or skiing?,52.4
109,Will the new Fable be any good?,52.4
27,May the force be with who?,52.5
181,Do you whip/nae nae?,52.5
768,Scarlett Johansson Or Megan Fox?,52.6
983,The best people in the US are from the... ?,52.6
251,Who's buying the new Leica M? ,52.6
32,Who is your favorite Game of Thrones character?,52.7
49,New York, San Francisco, or LA?,52.7
142,Should Tom Brady have been suspended?,52.7
1155,Who wins tonight's debate?,52.9
915,How many people are using this app ?,52.9
992,Are e-sports stupid?,52.9
740,what do you think about the iphone or apple ?,52.9
932,Should marijuana be legal all around the globe?,53
185,Is John Green pretty much John Boy Walton?,53
829,Federer or djokovic,53.1
204,Halle Berry's getting divorced, what's next?,53.2
221,Most ecologically sensitive flooring?,53.2
23,Is fracking dangerous to water supplies?,53.3
927,How do you deal with a person who talks to you only when they need something?,53.3
75,What city has the most beautiful skyline?,53.4
947,Coffee or energy drink?,53.4
711,Better to be blind your whole life, or have sight for 20 years and lose it?,53.4
920,Does life exist after death?,53.6
220,Best holiday treat,53.6
957,Geodude or Zubat,53.7
246,who will die next in The Walking Dead,53.9
762,Which Fighting Games are the best?,53.9
271,Who wins the ACC - Big Ten Challenge?,54
26,Favorite Tennis Major: French, US, Australian or Wimbledon?,54
50,Pool or ocean?,54.1
104,Should Oscar Pistorius be released early?,54.1
1136,Brad or Angelina, whose side are you on?,54.1
137,Would you wear a Givenchy designer mask?,54.1
167,What's your favorite plot in novels?,54.1
715,Goku Vs Saitama,54.1
217,Disgusted or proud?,54.1
222,Best slippers,54.1
34,Is Bill DeBlasio doing a good job?,54.3
1060,which one is better?,54.3
1061,Which type of game is better,54.3
1064,Do you prefer to sing or dance,54.4
1066,Do you know my YouTube channel,54.4
47,Who is the best newscaster?,54.4
155,What does the Pope's visit mean to you?,54.4
124,Favorite designer?,54.5
138,Which color iPhone should I get?,54.5
1272,Taylor Swift or Beyoncé?,54.6
264,Who is the best in the NBA?,54.7
31,Will you buy an Apple Watch?,54.7
830,Have you ever been helped by the police?,54.7
107,Can the Mets actually win this year?,54.7
952,Favorite season?,54.7
1020,I can't live without?,54.7
790,Did Milo deserve to get banned from Twitter?,54.8
123,Greatest fashion icon of all time?,54.8
737,Are ghosts real ?,54.9
152,Who's better: Nirvana or Pearl Jam?,55
727,CAT OR DOG?,55
253,Do the Golden State Warriors have a chance to go 82-0?,55
721,If you were rich what would you buy?,55.1
24,Best spontaneous gift,55.3
30,Will Iraq survive as a unified country?,55.3
46,Who is your favorite leading lady?,55.3
776,Is Pokemon Go Responsible For Girl Hit By Car While Playing? ,55.4
165,Is Taylor Swift a true feminist?,55.4
121,Who's the best running back of all time?,55.5
151,MJ, Kobe or LeBron?,55.5
758,Can a father kiss his 10 year old daughter on the lips?,55.5
832,When are you going to tell your wife you cheated on her?,55.7
191,What is a breakfast of champions?,55.7
215,Who's responsible for the Paris terrorist attacks?,55.7
33,Should the US Navy patrol the South China Sea?,55.8
193,Which Back to the Future invention are you most excited for?,55.8
226,Favorite doodle,55.8
92,What is the most haunted house on earth?,56.1
761,Who's late more women or men?,56.1
273,Davidson or UNCC tonight,56.2
1062,Which Game Do You Prefer Cricket or Football?,56.2
116,greatest physicist,56.2
1253,What will Trump do when he loses the election?,56.3
25,Warriors or Cavs?,56.4
200,What's your favorite shark movie?,56.4
83,Will DelPo come back to tennis?,56.5
168,What number am I thinking of between 1 and 10?,56.5
190,Who's the fairest of them all?,56.5
239,Who are better drivers, women or men?,56.5
80,Should we phase out coal powered power plants?,56.65
225,Which Hawaiian island is your favorite?,56.7
278,Who wins the College Football Playoff?,56.8
258,More likely to go undefeated?,56.9
87,Should Greece be kicked out of the EU?,56.9
110,Will there ever be a Half-Life 3,56.9
12,Cape Cod or Narragansett?,57.1
1297,Guys: would you rather date a short girl or a tall girl?,57.1
831,How many black friends do you have?,57.1
113,Are we headed for a Wall St crash?,57.1
242,Best skiing this winter?,57.1
733,Which Harry Potter Character is best?,57.2
269,Rather no beat drop in dubstep songs or the same beat drop over and over again,57.3
828,Do you have lag on your computer?,57.4
2,What's the best sport,57.5
